Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Public Transport","Public Transport","","1 / 2009 - 10 / 2018","","","","","http://link.springer.com/journal/12469","Journal"
"Financial Statistics","Financial Statistics","","561 / 2009 - 595 / 2011","","","","","http://link.springer.com/journal/41319","Journal"
"Personal and Ubiquitous Computing","Personal and Ubiquitous Computing","","1 / 1997 - 22 / 2018","","","","","http://link.springer.com/journal/779","Journal"
"Indian Journal of Physics","Indian Journal of Physics","","83 / 2009 - 92 / 2018","","","","","http://link.springer.com/journal/12648","Journal"
"Current Pain and Headache Reports","Current Pain and Headache Reports","","1 / 1997 - 22 / 2018","","","","","http://link.springer.com/journal/11916","Journal"
"Annals of Mathematics and Artificial Intelligence","Annals of Mathematics and Artificial Intelligence","","1 / 1990 - 81 / 2017","","","","","http://link.springer.com/journal/10472","Journal"
"Environmental and Ecological Statistics","Environmental and Ecological Statistics","","1 / 1994 - 25 / 2018","","","","","http://link.springer.com/journal/10651","Journal"
"Journal of Human Genetics","Journal of Human Genetics","","22 / 1977 - 63 / 2018","","","","","http://link.springer.com/journal/10038","Journal"
"Journal of the Iranian Chemical Society","Journal of the Iranian Chemical Society","","1 / 2004 - 15 / 2018","","","","","http://link.springer.com/journal/13738","Journal"
"Contemporary Islam","Contemporary Islam","","1 / 2007 - 12 / 2018","","","","","http://link.springer.com/journal/11562","Journal"
"Journal of Shanghai University (English Edition)","Journal of Shanghai University (English Edition)","","1 / 1997 - 15 / 2011","","","","","http://link.springer.com/journal/11741","Journal"
"Quantum Information Processing","Quantum Information Processing","","1 / 2002 - 17 / 2018","","","","","http://link.springer.com/journal/11128","Journal"
"Molecules Online","Molecules Online","","1 / 1996","","","","","http://link.springer.com/journal/783","Journal"
"The Australian Educational Researcher","The Australian Educational Researcher","","12 / 1985 - 45 / 2018","","","","","http://link.springer.com/journal/13384","Journal"
"Journal of Ambient Intelligence and Humanized Computing","Journal of Ambient Intelligence and Humanized Computing","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/12652","Journal"
"Bioelectronic Medicine","Bioelectronic Medicine","","4 / 2018","","","","","http://link.springer.com/journal/42234","Journal"
"Journal of Chemical Sciences","Journal of Chemical Sciences","","87 / 1978 - 130 / 2018","","","","","http://link.springer.com/journal/12039","Journal"
"Current Psychiatry Reports","Current Psychiatry Reports","","1 / 1999 - 20 / 2018","","","","","http://link.springer.com/journal/11920","Journal"
"Social Trends","Social Trends","","39 / 2009 - 41 / 2011","","","","","http://link.springer.com/journal/41502","Journal"
"Molecular Imaging and Biology","Molecular Imaging and Biology","","7 / 2005 - 20 / 2018","","","","","http://link.springer.com/journal/11307","Journal"
"Mineral Economics","Mineral Economics","","24 / 2011 - 30 / 2017","","","","","http://link.springer.com/journal/13563","Journal"
"GigaScience","GigaScience","","1 / 2012 - 5 / 2016","","","","","http://link.springer.com/journal/13742","Journal"
"The European Physical Journal H","The European Physical Journal H","","35 / 2010 - 43 / 2018","","","","","http://link.springer.com/journal/13129","Journal"
"Acta Mechanica","Acta Mechanica","","1 / 1965 - 229 / 2018","","","","","http://link.springer.com/journal/707","Journal"
"Pramana","Pramana","","1 / 1973 - 90 / 2018","","","","","http://link.springer.com/journal/12043","Journal"
"Indian Pediatrics","Indian Pediatrics","","47 / 2010 - 55 / 2018","","","","","http://link.springer.com/journal/13312","Journal"
"Public Health Reviews","Public Health Reviews","","32 / 2010 - 39 / 2018","","","","","http://link.springer.com/journal/40985","Journal"
"Journal of Structural and Functional Genomics","Journal of Structural and Functional Genomics","","1 / 2000 - 17 / 2016","","","","","http://link.springer.com/journal/10969","Journal"
"Integrated Pest Management Reviews","Integrated Pest Management Reviews","","1 / 1995 - 7 / 2002","","","","","http://link.springer.com/journal/10794","Journal"
"The European Journal of Development Research","The European Journal of Development Research","","1 / 1989 - 30 / 2018","","","","","http://link.springer.com/journal/41287","Journal"
"Journal of Thermal Analysis and Calorimetry","Journal of Thermal Analysis and Calorimetry","","1 / 1969 - 132 / 2018","","","","","http://link.springer.com/journal/10973","Journal"
"Zoological Studies","Zoological Studies","","52 / 2013 - 54 / 2015","","","","","http://link.springer.com/journal/40555","Journal"
"Current Bladder Dysfunction Reports","Current Bladder Dysfunction Reports","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/11884","Journal"
"Journal of Clinical Movement Disorders","Journal of Clinical Movement Disorders","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40734","Journal"
"Biology & Philosophy","Biology & Philosophy","","1 / 1986 - 33 / 2018","","","","","http://link.springer.com/journal/10539","Journal"
"Global Change and Human Health","Global Change and Human Health","","1 / 2000 - 3 / 2002","","","","","http://link.springer.com/journal/10718","Journal"
"Journal of Neuroinflammation","Journal of Neuroinflammation","","1 / 2004 - 15 / 2018","","","","","http://link.springer.com/journal/12974","Journal"
"European Journal of Hybrid Imaging","European Journal of Hybrid Imaging","","1 / 2017 - 2 / 2018","","","","","http://link.springer.com/journal/41824","Journal"
"Journal of Mountain Science","Journal of Mountain Science","","1 / 2004 - 15 / 2018","","","","","http://link.springer.com/journal/11629","Journal"
"Asian Business & Management","Asian Business & Management","","1 / 2002 - 17 / 2018","","","","","http://link.springer.com/journal/41291","Journal"
"International Journal of Clinical Pharmacy","International Journal of Clinical Pharmacy","","1 / 1979 - 40 / 2018","","","","","http://link.springer.com/journal/11096","Journal"
"Activitas Nervosa Superior","Activitas Nervosa Superior","","50 / 2008 - 60 / 2018","","","","","http://link.springer.com/journal/41470","Journal"
"BIT Numerical Mathematics","BIT Numerical Mathematics","","1 / 1961 - 58 / 2018","","","","","http://link.springer.com/journal/10543","Journal"
"Vocations and Learning","Vocations and Learning","","1 / 2008 - 11 / 2018","","","","","http://link.springer.com/journal/12186","Journal"
"Technical Physics","Technical Physics","","42 / 1997 - 63 / 2018","","","","","http://link.springer.com/journal/11454","Journal"
"Genetic Resources and Crop Evolution","Genetic Resources and Crop Evolution","","1 / 1953 - 65 / 2018","","","","","http://link.springer.com/journal/10722","Journal"
"Communications in Mathematics and Statistics","Communications in Mathematics and Statistics","","1 / 2013 - 6 / 2018","","","","","http://link.springer.com/journal/40304","Journal"
"Automated Experimentation","Automated Experimentation","","1 / 2009 - 4 / 2012","","","","","http://link.springer.com/journal/13097","Journal"
"Journal of Geographical Systems","Journal of Geographical Systems","","1 / 1999 - 20 / 2018","","","","","http://link.springer.com/journal/10109","Journal"
"European Demographic Information Bulletin","European Demographic Information Bulletin","","1 / 1970 - 14 / 1983","","","","","http://link.springer.com/journal/12365","Journal"
"International Journal of Automation and Computing","International Journal of Automation and Computing","","1 / 2004 - 15 / 2018","","","","","http://link.springer.com/journal/11633","Journal"
"Journal of Housing and the Built Environment","Journal of Housing and the Built Environment","","1 / 1986 - 33 / 2018","","","","","http://link.springer.com/journal/10901","Journal"
"Herpesviridae","Herpesviridae","","1 / 2010 - 5 / 2014","","","","","http://link.springer.com/journal/13276","Journal"
"European Transport Research Review","European Transport Research Review","","1 / 2009 - 10 / 2018","","","","","http://link.springer.com/journal/12544","Journal"
"Wiener klinische Wochenschrift Education","Wiener klinische Wochenschrift Education","","1 / 2006 - 12 / 2017","","","","","http://link.springer.com/journal/11812","Journal"
"EURASIP Journal on Advances in Signal Processing","EURASIP Journal on Advances in Signal Processing","","2001 / 2001 - 2018 / 2018","","","","","http://link.springer.com/journal/13634","Journal"
"Journal of Applied Mathematics and Computing","Journal of Applied Mathematics and Computing","","1 / 1994 - 57 / 2018","","","","","http://link.springer.com/journal/12190","Journal"
"BMC Endocrine Disorders","BMC Endocrine Disorders","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/12902","Journal"
"Regional Environmental Change","Regional Environmental Change","","1 / 2000 - 18 / 2018","","","","","http://link.springer.com/journal/10113","Journal"
"Minerva","Minerva","","1 / 1963 - 56 / 2018","","","","","http://link.springer.com/journal/11024","Journal"
"Ambio","Ambio","","39 / 2010 - 47 / 2018","","","","","http://link.springer.com/journal/13280","Journal"
"Statistical Inference for Stochastic Processes","Statistical Inference for Stochastic Processes","","1 / 1998 - 21 / 2018","","","","","http://link.springer.com/journal/11203","Journal"
"Applied Mathematics & Optimization","Applied Mathematics & Optimization","","1 / 1974 - 77 / 2018","","","","","http://link.springer.com/journal/245","Journal"
"The Review of Black Political Economy","The Review of Black Political Economy","","1 / 1971 - 44 / 2017","","","","","http://link.springer.com/journal/12114","Journal"
"Pflügers Archiv - European Journal of Physiology","Pflügers Archiv - European Journal of Physiology","","1 / 1868 - 470 / 2018","","","","","http://link.springer.com/journal/424","Journal"
"Journal of Molecular Signaling","Journal of Molecular Signaling","","1 / 2006 - 9 / 2014","","","","","http://link.springer.com/journal/13025","Journal"
"European Cytokine Network","European Cytokine Network","","25 / 2014 - 28 / 2017","","","","","http://link.springer.com/journal/40698","Journal"
"Annals of Combinatorics","Annals of Combinatorics","","1 / 1997 - 22 / 2018","","","","","http://link.springer.com/journal/26","Journal"
"Rock Mechanics and Rock Engineering","Rock Mechanics and Rock Engineering","","1 / 1969 - 51 / 2018","","","","","http://link.springer.com/journal/603","Journal"
"Applied Nanoscience","Applied Nanoscience","","1 / 2011 - 8 / 2018","","","","","http://link.springer.com/journal/13204","Journal"
"Nonlinear Differential Equations and Applications NoDEA","Nonlinear Differential Equations and Applications NoDEA","","1 / 1994 - 25 / 2018","","","","","http://link.springer.com/journal/30","Journal"
"International Nano Letters","International Nano Letters","","2 / 2012 - 7 / 2017","","","","","http://link.springer.com/journal/40089","Journal"
"Journal of the Economic Science Association","Journal of the Economic Science Association","","1 / 2015 - 3 / 2017","","","","","http://link.springer.com/journal/40881","Journal"
"Experimental Astronomy","Experimental Astronomy","","1 / 1990 - 45 / 2018","","","","","http://link.springer.com/journal/10686","Journal"
"Drugs in R&D","Drugs in R&D","","1 / 1999 - 18 / 2018","","","","","http://link.springer.com/journal/40268","Journal"
"Journal of Behavioral Medicine","Journal of Behavioral Medicine","","1 / 1978 - 41 / 2018","","","","","http://link.springer.com/journal/10865","Journal"
"JOT Journal für Oberflächentechnik","JOT Journal für Oberflächentechnik","","40 / 2000 - 58 / 2018","","","","","http://link.springer.com/journal/35144","Journal"
"Journal für Gastroenterologische und Hepatologische Erkrankungen","Journal für Gastroenterologische und Hepatologische Erkrankungen","","15 / 2017 - 16 / 2018","","","","","http://link.springer.com/journal/41971","Journal"
"Zeitschrift für Politikwissenschaft","Zeitschrift für Politikwissenschaft","","26 / 2016 - 28 / 2018","","","","","http://link.springer.com/journal/41358","Journal"
"Theoretical and Experimental Plant Physiology","Theoretical and Experimental Plant Physiology","","26 / 2014 - 30 / 2018","","","","","http://link.springer.com/journal/40626","Journal"
"Journal of Community Genetics","Journal of Community Genetics","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/12687","Journal"
"Coke and Chemistry","Coke and Chemistry","","50 / 2007 - 61 / 2018","","","","","http://link.springer.com/journal/11955","Journal"
"International Journal of Recycling of Organic Waste in Agriculture","International Journal of Recycling of Organic Waste in Agriculture","","1 / 2012 - 7 / 2018","","","","","http://link.springer.com/journal/40093","Journal"
"BMC Microbiology","BMC Microbiology","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/12866","Journal"
"Asia-Pacific Financial Markets","Asia-Pacific Financial Markets","","1 / 1994 - 25 / 2018","","","","","http://link.springer.com/journal/10690","Journal"
"Pediatric Drugs","Pediatric Drugs","","1 / 1999 - 20 / 2018","","","","","http://link.springer.com/journal/40272","Journal"
"TvV Tijdschrift voor Verzorgenden","TvV Tijdschrift voor Verzorgenden","","48 / 2016 - 50 / 2018","","","","","http://link.springer.com/journal/41183","Journal"
"Pharmaceutical Development and Regulation","Pharmaceutical Development and Regulation","","1 / 2003","","","","","http://link.springer.com/journal/40451","Journal"
"Russian Journal of Applied Chemistry","Russian Journal of Applied Chemistry","","74 / 2001 - 91 / 2018","","","","","http://link.springer.com/journal/11167","Journal"
"Psychobiology","Psychobiology","","1 / 1973 - 28 / 2000","","","","","http://link.springer.com/journal/40630","Journal"
"Chemosensory Perception","Chemosensory Perception","","1 / 2008 - 11 / 2018","","","","","http://link.springer.com/journal/12078","Journal"
"Computational Economics","Computational Economics","","1 / 1988 - 51 / 2018","","","","","http://link.springer.com/journal/10614","Journal"
"BMC Plant Biology","BMC Plant Biology","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/12870","Journal"
"Biotechnology and Bioprocess Engineering","Biotechnology and Bioprocess Engineering","","1 / 1996 - 23 / 2018","","","","","http://link.springer.com/journal/12257","Journal"
"Morphology","Morphology","","16 / 2006 - 28 / 2018","","","","","http://link.springer.com/journal/11525","Journal"
"Russian Journal of Biological Invasions","Russian Journal of Biological Invasions","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/13168","Journal"
"Frontiers of Computer Science","Frontiers of Computer Science","","1 / 2007 - 12 / 2018","","","","","http://link.springer.com/journal/11704","Journal"
"Statistical Methods & Applications","Statistical Methods & Applications","","1 / 1992 - 27 / 2018","","","","","http://link.springer.com/journal/10260","Journal"
"Philosophy & Technology","Philosophy & Technology","","24 / 2011 - 31 / 2018","","","","","http://link.springer.com/journal/13347","Journal"
"Securitas Vialis","Securitas Vialis","","1 / 2009 - 9 / 2017","","","","","http://link.springer.com/journal/12615","Journal"
"Russian Journal of Bioorganic Chemistry","Russian Journal of Bioorganic Chemistry","","26 / 2000 - 44 / 2018","","","","","http://link.springer.com/journal/11171","Journal"
"Ernährung - Wissenschaft und Praxis","Ernährung - Wissenschaft und Praxis","","1 / 2007 - 2 / 2008","","","","","http://link.springer.com/journal/12082","Journal"
"Journal of Diabetes & Metabolic Disorders","Journal of Diabetes & Metabolic Disorders","","11 / 2012 - 16 / 2017","","","","","http://link.springer.com/journal/40200","Journal"
"Clinical Research in Cardiology","Clinical Research in Cardiology","","86 / 1997 - 107 / 2018","","","","","http://link.springer.com/journal/392","Journal"
"Energy, Sustainability and Society","Energy, Sustainability and Society","","1 / 2011 - 8 / 2018","","","","","http://link.springer.com/journal/13705","Journal"
"Chinese Political Science Review","Chinese Political Science Review","","1 / 2016 - 3 / 2018","","","","","http://link.springer.com/journal/41111","Journal"
"Journal of Meteorological Research","Journal of Meteorological Research","","25 / 2011 - 32 / 2018","","","","","http://link.springer.com/journal/13351","Journal"
"Toxicology and Environmental Health Sciences","Toxicology and Environmental Health Sciences","","1 / 2009 - 10 / 2018","","","","","http://link.springer.com/journal/13530","Journal"
"Annali di Matematica Pura ed Applicata (1867-1897)","Annali di Matematica Pura ed Applicata (1867-1897)","","1 / 1867 - 26 / 1897","","","","","http://link.springer.com/journal/40769","Journal"
"Geomechanics and Geophysics for Geo-Energy and Geo-Resources","Geomechanics and Geophysics for Geo-Energy and Geo-Resources","","1 / 2015 - 4 / 2018","","","","","http://link.springer.com/journal/40948","Journal"
"Applied Biochemistry and Biotechnology","Applied Biochemistry and Biotechnology","","1 / 1976 - 185 / 2018","","","","","http://link.springer.com/journal/12010","Journal"
"International Journal of STEM Education","International Journal of STEM Education","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40594","Journal"
"Mobile DNA","Mobile DNA","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/13100","Journal"
"Dublin Journal of Medical Science (1920-1922)","Dublin Journal of Medical Science (1920-1922)","","1 / 1920 - 3 / 1922","","","","","http://link.springer.com/journal/40773","Journal"
"Child Psychiatry & Human Development","Child Psychiatry & Human Development","","1 / 1970 - 49 / 2018","","","","","http://link.springer.com/journal/10578","Journal"
"Journal of Ichthyology","Journal of Ichthyology","","46 / 2006 - 58 / 2018","","","","","http://link.springer.com/journal/11489","Journal"
"International Journal of Crashworthiness","International Journal of Crashworthiness","","8 / 2003 - 9 / 2004","","","","","http://link.springer.com/journal/10757","Journal"
"Journal of Failure Analysis and Prevention","Journal of Failure Analysis and Prevention","","1 / 2001 - 18 / 2018","","","","","http://link.springer.com/journal/11668","Journal"
"Journal of Psycholinguistic Research","Journal of Psycholinguistic Research","","1 / 1972 - 47 / 2018","","","","","http://link.springer.com/journal/10936","Journal"
"Current Sustainable/Renewable Energy Reports","Current Sustainable/Renewable Energy Reports","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40518","Journal"
"Czechoslovak Journal of Physics","Czechoslovak Journal of Physics","","1 / 1952 - 56 / 2006","","","","","http://link.springer.com/journal/10582","Journal"
"Experimental Hematology & Oncology","Experimental Hematology & Oncology","","1 / 2012 - 7 / 2018","","","","","http://link.springer.com/journal/40164","Journal"
"Current Obstetrics and Gynecology Reports","Current Obstetrics and Gynecology Reports","","1 / 2012 - 7 / 2018","","","","","http://link.springer.com/journal/13669","Journal"
"Nutrition Journal","Nutrition Journal","","1 / 2002 - 17 / 2018","","","","","http://link.springer.com/journal/12937","Journal"
"Pattern Recognition and Image Analysis","Pattern Recognition and Image Analysis","","16 / 2006 - 28 / 2018","","","","","http://link.springer.com/journal/11493","Journal"
"International Journal of Historical Archaeology","International Journal of Historical Archaeology","","1 / 1997 - 22 / 2018","","","","","http://link.springer.com/journal/10761","Journal"
"Place Branding and Public Diplomacy","Place Branding and Public Diplomacy","","1 / 2005 - 14 / 2018","","","","","http://link.springer.com/journal/41254","Journal"
"Neohelicon","Neohelicon","","1 / 1973 - 44 / 2017","","","","","http://link.springer.com/journal/11059","Journal"
"Journal of Quantitative Criminology","Journal of Quantitative Criminology","","1 / 1985 - 34 / 2018","","","","","http://link.springer.com/journal/10940","Journal"
"Journal of General Plant Pathology","Journal of General Plant Pathology","","66 / 2000 - 84 / 2018","","","","","http://link.springer.com/journal/10327","Journal"
"Journal of Earth Science","Journal of Earth Science","","20 / 2009 - 29 / 2018","","","","","http://link.springer.com/journal/12583","Journal"
"Theory and Decision","Theory and Decision","","1 / 1971 - 84 / 2018","","","","","http://link.springer.com/journal/11238","Journal"
"Artificial Intelligence and Law","Artificial Intelligence and Law","","1 / 1992 - 26 / 2018","","","","","http://link.springer.com/journal/10506","Journal"
"Annals of Nuclear Medicine","Annals of Nuclear Medicine","","1 / 1987 - 32 / 2018","","","","","http://link.springer.com/journal/12149","Journal"
"Asian Journal of Criminology","Asian Journal of Criminology","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/11417","Journal"
"Human-centric Computing and Information Sciences","Human-centric Computing and Information Sciences","","1 / 2011 - 8 / 2018","","","","","http://link.springer.com/journal/13673","Journal"
"Annals of Clinical Microbiology and Antimicrobials","Annals of Clinical Microbiology and Antimicrobials","","1 / 2002 - 17 / 2018","","","","","http://link.springer.com/journal/12941","Journal"
"Clinical Journal of Gastroenterology","Clinical Journal of Gastroenterology","","1 / 2008 - 11 / 2018","","","","","http://link.springer.com/journal/12328","Journal"
"Helgoland Marine Research","Helgoland Marine Research","","1 / 1938 - 72 / 2018","","","","","http://link.springer.com/journal/10152","Journal"
"Cardiovascular Engineering and Technology","Cardiovascular Engineering and Technology","","1 / 2010 - 9 / 2018","","","","","http://link.springer.com/journal/13239","Journal"
"Tijdschrift voor Medisch Onderwijs","Tijdschrift voor Medisch Onderwijs","","19 / 2000 - 30 / 2011","","","","","http://link.springer.com/journal/12507","Journal"
"Neural Processing Letters","Neural Processing Letters","","1 / 1994 - 47 / 2018","","","","","http://link.springer.com/journal/11063","Journal"
"Transport in Porous Media","Transport in Porous Media","","1 / 1986 - 122 / 2018","","","","","http://link.springer.com/journal/11242","Journal"
"Archives of Suicide Research","Archives of Suicide Research","","3 / 1997 - 5 / 1999","","","","","http://link.springer.com/journal/10510","Journal"
"Current Microbiology","Current Microbiology","","1 / 1978 - 75 / 2018","","","","","http://link.springer.com/journal/284","Journal"
"Neural Development","Neural Development","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/13064","Journal"
"Orthopedics and Traumatology","Orthopedics and Traumatology","","1 / 1992 - 10 / 2002","","","","","http://link.springer.com/journal/65","Journal"
"Acta Geophysica","Acta Geophysica","","54 / 2006 - 66 / 2018","","","","","http://link.springer.com/journal/11600","Journal"
"Journal of Remanufacturing","Journal of Remanufacturing","","1 / 2011 - 7 / 2017","","","","","http://link.springer.com/journal/13243","Journal"
"Mathematische Annalen","Mathematische Annalen","","1 / 1869 - 371 / 2018","","","","","http://link.springer.com/journal/208","Journal"
"Clinical and Translational Allergy","Clinical and Translational Allergy","","1 / 2011 - 8 / 2018","","","","","http://link.springer.com/journal/13601","Journal"
"Micro and Nano Systems Letters","Micro and Nano Systems Letters","","1 / 2013 - 6 / 2018","","","","","http://link.springer.com/journal/40486","Journal"
"Climate Change Responses","Climate Change Responses","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40665","Journal"
"Evolutionary and Institutional Economics Review","Evolutionary and Institutional Economics Review","","1 / 2004 - 14 / 2017","","","","","http://link.springer.com/journal/40844","Journal"
"Educational Studies in Mathematics","Educational Studies in Mathematics","","1 / 1969 - 98 / 2018","","","","","http://link.springer.com/journal/10649","Journal"
"The Journal of Comparative Germanic Linguistics","The Journal of Comparative Germanic Linguistics","","1 / 1997 - 21 / 2018","","","","","http://link.springer.com/journal/10828","Journal"
"New Zealand Journal of Forestry Science","New Zealand Journal of Forestry Science","","43 / 2013 - 48 / 2018","","","","","http://link.springer.com/journal/40490","Journal"
"Internal and Emergency Medicine","Internal and Emergency Medicine","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/11739","Journal"
"Journal of Industrial Microbiology & Biotechnology","Journal of Industrial Microbiology & Biotechnology","","1 / 1986 - 45 / 2018","","","","","http://link.springer.com/journal/10295","Journal"
"Current Prostate Reports","Current Prostate Reports","","1 / 2003 - 7 / 2009","","","","","http://link.springer.com/journal/11918","Journal"
"Acta Mathematica Hungarica","Acta Mathematica Hungarica","","1 / 1950 - 154 / 2018","","","","","http://link.springer.com/journal/10474","Journal"
"Environmental Geochemistry and Health","Environmental Geochemistry and Health","","1 / 1979 - 40 / 2018","","","","","http://link.springer.com/journal/10653","Journal"
"Journal of Electroceramics","Journal of Electroceramics","","1 / 1997 - 40 / 2018","","","","","http://link.springer.com/journal/10832","Journal"
"Journal of Surfactants and Detergents","Journal of Surfactants and Detergents","","1 / 1998 - 20 / 2017","","","","","http://link.springer.com/journal/11743","Journal"
"Geochronometria","Geochronometria","","38 / 2011 - 41 / 2014","","","","","http://link.springer.com/journal/13386","Journal"
"Skipr","Skipr","","4 / 2011 - 11 / 2018","","","","","http://link.springer.com/journal/12654","Journal"
"Current Psychosis & Therapeutics Reports","Current Psychosis & Therapeutics Reports","","1 / 2003 - 4 / 2006","","","","","http://link.springer.com/journal/11922","Journal"
"United Kingdom Economic Accounts","United Kingdom Economic Accounts","","65 / 2009 - 75 / 2011","","","","","http://link.springer.com/journal/41504","Journal"
"Kinetoplastid Biology and Disease","Kinetoplastid Biology and Disease","","1 / 2002 - 6 / 2007","","","","","http://link.springer.com/journal/13565","Journal"
"Pattern Analysis and Applications","Pattern Analysis and Applications","","1 / 1998 - 21 / 2018","","","","","http://link.springer.com/journal/10044","Journal"
"Neotropical Entomology","Neotropical Entomology","","41 / 2012 - 47 / 2018","","","","","http://link.springer.com/journal/13744","Journal"
"Protoplasma","Protoplasma","","1 / 1926 - 255 / 2018","","","","","http://link.springer.com/journal/709","Journal"
"Queueing Systems","Queueing Systems","","1 / 1986 - 88 / 2018","","","","","http://link.springer.com/journal/11134","Journal"
"Resonance","Resonance","","1 / 1996 - 23 / 2018","","","","","http://link.springer.com/journal/12045","Journal"
"Social Choice and Welfare","Social Choice and Welfare","","1 / 1984 - 50 / 2018","","","","","http://link.springer.com/journal/355","Journal"
"Folia Geobotanica","Folia Geobotanica","","1 / 1966 - 53 / 2018","","","","","http://link.springer.com/journal/12224","Journal"
"Journal of Hepato-Biliary-Pancreatic Sciences","Journal of Hepato-Biliary-Pancreatic Sciences","","1 / 1994 - 20 / 2013","","","","","http://link.springer.com/journal/534","Journal"
"Exposure and Health","Exposure and Health","","1 / 2009 - 10 / 2018","","","","","http://link.springer.com/journal/12403","Journal"
"Australasian Plant Disease Notes","Australasian Plant Disease Notes","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/13314","Journal"
"Computational Statistics","Computational Statistics","","14 / 1999 - 33 / 2018","","","","","http://link.springer.com/journal/180","Journal"
"DARU Journal of Pharmaceutical Sciences","DARU Journal of Pharmaceutical Sciences","","20 / 2012 - 25 / 2017","","","","","http://link.springer.com/journal/40199","Journal"
"International Journal of Corporate Social Responsibility","International Journal of Corporate Social Responsibility","","1 / 2016 - 3 / 2018","","","","","http://link.springer.com/journal/40991","Journal"
"Der Chirurg","Der Chirurg","","67 / 1996 - 89 / 2018","","","","","http://link.springer.com/journal/104","Journal"
"Information Systems Frontiers","Information Systems Frontiers","","1 / 1999 - 20 / 2018","","","","","http://link.springer.com/journal/10796","Journal"
"URBAN DESIGN International","URBAN DESIGN International","","1 / 1996 - 23 / 2018","","","","","http://link.springer.com/journal/41289","Journal"
"Kinetics and Catalysis","Kinetics and Catalysis","","41 / 2000 - 59 / 2018","","","","","http://link.springer.com/journal/10975","Journal"
"Annals of Occupational and Environmental Medicine","Annals of Occupational and Environmental Medicine","","25 / 2013 - 30 / 2018","","","","","http://link.springer.com/journal/40557","Journal"
"Current Cardiology Reports","Current Cardiology Reports","","1 / 1999 - 20 / 2018","","","","","http://link.springer.com/journal/11886","Journal"
"Journal of Applied and Computational Topology","Journal of Applied and Computational Topology","","1 / 2017","","","","","http://link.springer.com/journal/41468","Journal"
"Pacific Journal of Mathematics for Industry","Pacific Journal of Mathematics for Industry","","6 / 2014 - 10 / 2018","","","","","http://link.springer.com/journal/40736","Journal"
"Theoretical Biology and Medical Modelling","Theoretical Biology and Medical Modelling","","1 / 2004 - 15 / 2018","","","","","http://link.springer.com/journal/12976","Journal"
"British Politics","British Politics","","1 / 2006 - 13 / 2018","","","","","http://link.springer.com/journal/41293","Journal"
"Philosophical Studies","Philosophical Studies","","1 / 1950 - 175 / 2018","","","","","http://link.springer.com/journal/11098","Journal"
"Smart Learning Environments","Smart Learning Environments","","1 / 2014 - 5 / 2018","","","","","http://link.springer.com/journal/40561","Journal"
"Wireless Personal Communications","Wireless Personal Communications","","1 / 1994 - 100 / 2018","","","","","http://link.springer.com/journal/11277","Journal"
"Journal of Inherited Metabolic Disease","Journal of Inherited Metabolic Disease","","1 / 1978 - 41 / 2018","","","","","http://link.springer.com/journal/10545","Journal"
"Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg","Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg","","1 / 1922 - 88 / 2018","","","","","http://link.springer.com/journal/12188","Journal"
"Journal of Geovisualization and Spatial Analysis","Journal of Geovisualization and Spatial Analysis","","1 / 2017 - 2 / 2018","","","","","http://link.springer.com/journal/41651","Journal"
"Burns & Trauma","Burns & Trauma","","1 / 2013 - 6 / 2018","","","","","http://link.springer.com/journal/41038","Journal"
"Group","Group","","1 / 1977 - 27 / 2003","","","","","http://link.springer.com/journal/10724","Journal"
"Acta Mathematica Vietnamica","Acta Mathematica Vietnamica","","38 / 2013 - 43 / 2018","","","","","http://link.springer.com/journal/40306","Journal"
"Mathematics of Control, Signals, and Systems","Mathematics of Control, Signals, and Systems","","1 / 1988 - 30 / 2018","","","","","http://link.springer.com/journal/498","Journal"
"Gut Pathogens","Gut Pathogens","","1 / 2009 - 10 / 2018","","","","","http://link.springer.com/journal/13099","Journal"
"Epidemiologic Perspectives & Innovations","Epidemiologic Perspectives & Innovations","","1 / 2004 - 9 / 2012","","","","","http://link.springer.com/journal/12980","Journal"
"Journal of Immigrant and Minority Health","Journal of Immigrant and Minority Health","","1 / 1999 - 20 / 2018","","","","","http://link.springer.com/journal/10903","Journal"
