콜라보,타이틀,낙찰가격,출시년도,재질,크기,박스크기,에디션,컨디션,정보 디테일
KAWS (b. 1974),Be@rbrick Companion 400%,"$1,125.00",2002,Painted cast vinyl,11 x 6 inches (27.9 x 15.2 cm),,,"Condition Report*:
No apparent condition issues. Comes in original packaging.","KAWS (b. 1974)
Be@rbrick Companion 400%, 2002
Painted cast vinyl
11 x 6 inches (27.9 x 15.2 cm)
Stamped with the artist's name, date, and fabricator on the reverse
Produced by Medicom Toy, Tokyo"
KAWS (b. 1974),Companion BE@RBRICK 400%,"$1,062.50",2002,Painted cast vinyl,10-3/4 x 5 x 3 inches (27.3 x 12.7 x 7.6 cm),,,"Condition Report*:
Contained in the original box; detailed condition report available upon request.","KAWS (b. 1974)
Companion BE@RBRICK 400%, 2002
Painted cast vinyl
10-3/4 x 5 x 3 inches (27.3 x 12.7 x 7.6 cm)
Stamped with the artist's name, date, and fabricator on the reverse"
KAWS X BE@RBRICK,Dissected Companion 400% (Black),"$1,000.00",2010,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Mild surface soil. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","KAWS X BE@RBRICK
Dissected Companion 400% (Black), 2010
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Companion 400%,"$1,000.00",2002,Painted cast vinyl,11 x 6 inches (27.9 x 15.2 cm),,,"Condition Report*:
Heavy scratches around the mouth; mild scuffs to the bottom of the feet. Comes in original packaging.","KAWS X BE@RBRICK
Companion 400%, 2002
Painted cast vinyl
11 x 6 inches (27.9 x 15.2 cm)
Stamped on the reverse
Published by Medicom Toy, Tokyo"
"KAWS (American, b. 1974)",Companion BE@RBRICK 400%,"$1,000.00",2002,Painted cast vinyl,10-3/4 x 5 x 3 inches (27.3 x 12.7 x 7.6 cm),,,"Condition Report*:
Spots of surface soiling on chest. Comes in original packaging.","KAWS (American, b. 1974)
Companion BE@RBRICK 400%, 2002
Painted cast vinyl
10-3/4 x 5 x 3 inches (27.3 x 12.7 x 7.6 cm)
Stamped with the artist's name, date, and fabricator on the reverse
Published by Medicom Toy, Tokyo"
BE@RBRICK X Jackson Pollock Studio,Jackson Pollock 1000%,$937.50,2016,Painted cast resin,28 x 13-1/2 x 9 inches (71.1 x 34.3 x 22.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box and packaging.","BE@RBRICK X Jackson Pollock Studio
Jackson Pollock 1000%, 2016
Painted cast resin
28 x 13-1/2 x 9 inches (71.1 x 34.3 x 22.9 cm)
Ed. 657/1000
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 400% (Black),$937.50,2010,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened box. 11-1/2 x 6-1/4 x 4-1/4 inches.
Unframed","KAWS X BE@RBRICK
Dissected Companion 400% (Black), 2010
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
BAPE X BE@RBRICK,Shark Hoddie 400% (Blue),$875.00,2015,Painted cast resin,11 x 5-1/2 x 3-3/4 inches (27.9 x 14.0 x 9.5 cm),,,"Condition Report*:
Mild surface dust; brown stain in the back; a few small scratches to the legs. Comes in original box.","BAPE X BE@RBRICK
Shark Hoddie 400% (Blue), 2015
Painted cast resin
11 x 5-1/2 x 3-3/4 inches (27.9 x 14.0 x 9.5 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Evangelion,EVA 13 400%,$812.50,2014,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Unframed","BE@RBRICK X Evangelion
EVA 13 400%, 2014
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped to the underside of the feet
Produced by Medicom Toy, Tokyo
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches."
KAWS X BE@RBRICK,Dissected Companion 200%,$812.50,2009,Painted metal,5-3/4 x 2-1/2 x 2 inches (14.6 x 6.4 x 5.1 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 6-3/4 x 4 x 3 inches. Never been exhibited.
Unframed","KAWS X BE@RBRICK
Dissected Companion 200%, 2009
Painted metal
5-3/4 x 2-1/2 x 2 inches (14.6 x 6.4 x 5.1 cm)
Stamped on the underside of the feet
Produced by Medicom Toy and OriginalFake, Tokyo"
KAWS X BE@RBRICK,Companion 400%,$812.50,2002,Painted cast vinyl,11 x 6 inches (27.9 x 15.2 cm),,,"Condition Report*:
Surface soil; stains and scratched to the bottom of the feet; mild scratches to stomach area; dent to vinyl on back of the right hand.","KAWS X BE@RBRICK
Companion 400%, 2002
Painted cast vinyl
11 x 6 inches (27.9 x 15.2 cm)
Stamped on the reverse
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 400%,$812.50,2008,Painted cast vinyl,2-3/4 x 1-1/2 x 1 inches (7 x 3.8 x 2.5 cm),,Edition of 500,"Condition Report*:
Very mild surface soil; mild scratches to the center of the stomach. Comes in original box. 11-1/2 x 6 x 4-1/4 inches.","KAWS X BE@RBRICK
Dissected Companion 400%, 2008
Painted cast vinyl
2-3/4 x 1-1/2 x 1 inches (7 x 3.8 x 2.5 cm)
Edition of 500
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Roen,Roen Be@rbrick 1000%,$812.50,2009,Cast resin with felt,28-3/4 x 13-1/2 x 9 inches (73 x 34.3 x 22.9 cm),,,"Condition Report*:
Surface soil; scattered brown stains around the eyes, stomach, and back; felt loss to the back of the head and tip of the ear. Comes in original box.","BE@RBRICK X Roen
Roen Be@rbrick 1000%, 2009
Cast resin with felt
28-3/4 x 13-1/2 x 9 inches (73 x 34.3 x 22.9 cm)
Stamped on the back and to the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS (b. 1974),Companion BE@RBRICK 400%,$812.50,2002,Painted cast vinyl,10-3/4 x 5 x 3 inches (27.3 x 12.7 x 7.6 cm),,,"Condition Report*:
Mild surface soil. Comes in original packaging.","KAWS (b. 1974)
Companion BE@RBRICK 400%, 2002
Painted cast vinyl
10-3/4 x 5 x 3 inches (27.3 x 12.7 x 7.6 cm)
Stamped with the artist's name, date, and fabricator on the reverse"
BE@RBRICK X Daft Punk,White Suit 400%,$750.00,2016,Painted cast vinyl,12 x 6 x 5 inches (30.5 x 15.2 x 12.7 cm),,Edition of 500,"Condition Report*:
No apparent condition issues. Comes in original packaging.","BE@RBRICK X Daft Punk
White Suit 400%, 2016
Painted cast vinyl
12 x 6 x 5 inches (30.5 x 15.2 x 12.7 cm)
Edition of 500
Stamped on bottom of feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Stussy,White Stussy 1000%,$750.00,2006,Painted cast resin,28 x 13-1/2 x 9 inches (71.1 x 34.3 x 22.9 cm),,,"Condition Report*:
Scuffs to the backof the head and the bottom of the feet; surface soil. Comes in original box.","BE@RBRICK X Stussy
White Stussy 1000%, 2006
Painted cast resin
28 x 13-1/2 x 9 inches (71.1 x 34.3 x 22.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Stussy,Black Stussy 1000% ,$750.00,2006,Painted cast resin,28 x 13-1/2 x 9 inches (71.1 x 34.3 x 22.9 cm),,,"Condition Report*:
Scratches and scuffs to the underside of the feet; mild surface soil. Comes in original box.","BE@RBRICK X Stussy
Black Stussy 1000% , 2006
Painted cast resin
28 x 13-1/2 x 9 inches (71.1 x 34.3 x 22.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Jackson Pollock Studio,Jackson Pollock 400%,$687.50,2016,Painted cast resin,11 x 5 x 4 inches (27.9 x 12.7 x 10.2 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.","BE@RBRICK X Jackson Pollock Studio
Jackson Pollock 400%, 2016
Painted cast resin
11 x 5 x 4 inches (27.9 x 12.7 x 10.2 cm)
Stamped to the bottom of the feet and back of the leg
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Companion 400%,$687.50,2002,Painted cast vinyl,10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm),,,"Condition Report*:
Mild surface soil.","KAWS X BE@RBRICK
Companion 400%, 2002
Painted cast vinyl
10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Levi's,Wash Denim 1000%,$687.50,2015,"Cast resin, with denim",28-1/2 x 13-3/4 x 10 inches (72.4 x 34.9 x 25.4 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 32 x 16 x 12 inches.","BE@RBRICK X Levi's
Wash Denim 1000%, 2015
Cast resin, with denim
28-1/2 x 13-3/4 x 10 inches (72.4 x 34.9 x 25.4 cm)
Ed. 489
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK X Takara Tomy,Choro-Q (Blue/Grey),$625.00,2007,Painted cast vinyl,1-3/8 x 3/4 x 3/8 inches (3.5 x 1.9 x 1 cm) (toy),,,"Condition Report*:
No apparent condition issues.","KAWS X BE@RBRICK X Takara Tomy
Choro-Q (Blue/Grey), 2007
Painted cast vinyl
1-3/8 x 3/4 x 3/8 inches (3.5 x 1.9 x 1 cm) (toy)
1-3/8 x 2 x 1-5/8 inches (3.5 x 5.1 x 4.1 cm) (car)
2-1/8 x 4 x 2-1/8 inches (5.4 x 10.2 x 5.4 cm) (box)
Stamped to the reverse '© KAWS..07'
Stamped on the underside of the car '©TAKARA CO.LTD '80'07 CHINA / ©2007 MEDICOM TOY / ©KAWS..07'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in clear molded plastic, in black box with silver foil lettering."
KAWS X BE@RBRICK,Companion 400%,$625.00,2002,Painted cast vinyl,10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm),,,"Condition Report*:
Very mild surface soil to the bottom of the feet and behind the ears' very mild scratches to the reverse. Comes in original box.","KAWS X BE@RBRICK
Companion 400%, 2002
Painted cast vinyl
10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Companion 400%,$625.00,2002,Painted cast vinyl,10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm),,,"Condition Report*:
Very mild surface soil. Does not come in original box.","KAWS X BE@RBRICK
Companion 400%, 2002
Painted cast vinyl
10-1/2 x 5 x 3-1/2 inches (26.7 x 12.7 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 200%,$625.00,2009,Painted metal,5-1/2 inches high (14 cm),,,"Condition Report*:
No apparent condition issues. Comes in original packaging.","KAWS X BE@RBRICK
Dissected Companion 200%, 2009
Painted metal
5-1/2 inches high (14 cm)
Stamped with artist's signature on the bottom of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK,Yellow Magic Orchestra 1000%,$625.00,2007,Painted cast resin,28-1/4 x 13-1/2 x 9 inches (71.8 x 34.3 x 22.9 cm),,,"Condition Report*:
Surface soil; discoloration to the crevaces; light discoloraiton to the eyes; mild scracthes to the feet; dent to the back of the left leg. Comes in original box.","BE@RBRICK
Yellow Magic Orchestra 1000%, 2007
Painted cast resin
28-1/4 x 13-1/2 x 9 inches (71.8 x 34.3 x 22.9 cm)
Stamped on the reverse
Published by Medicom Toy, Tokyo"
BAPE X BE@RBRICK,Shark Hoodie 400% (Green),$625.00,2015,Painted cast resin,11 x 5-1/2 x 3-3/4 inches (27.9 x 14.0 x 9.5 cm),,,"Condition Report*:
Mild surface dust. Comes in original box.","BAPE X BE@RBRICK
Shark Hoodie 400% (Green), 2015
Painted cast resin
11 x 5-1/2 x 3-3/4 inches (27.9 x 14.0 x 9.5 cm)
Stamped to the underside of the feet
Published by Medicom Toys, Tokyo"
BAPE X BE@RBRICK,Shark Hoddie 400% (Red),$625.00,2015,Painted cast resin,11 x 5-1/4 x 3-3/4 inches (27.9 x 13.3 x 9.5 cm),,,"Condition Report*:
Mild surface soiling. Comes in original box.","BAPE X BE@RBRICK
Shark Hoddie 400% (Red), 2015
Painted cast resin
11 x 5-1/4 x 3-3/4 inches (27.9 x 13.3 x 9.5 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Jackson Pollock Studio,Jackson Pollock 400%,$550.00,2016,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened box. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X Jackson Pollock Studio
Jackson Pollock 400%, 2016
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK X Takara Tomy,Choro-Q (Grey),$550.00,2007,Painted cast vinyl,1-3/8 x 3/4 x 3/8 inches (3.5 x 1.9 x 1 cm) (toy),,,"Condition Report*:
No apparent condition issues.","KAWS X BE@RBRICK X Takara Tomy
Choro-Q (Grey), 2007
Painted cast vinyl
1-3/8 x 3/4 x 3/8 inches (3.5 x 1.9 x 1 cm) (toy)
1-3/8 x 2 x 1-5/8 inches (3.5 x 5.1 x 4.1 cm) (car)
2-1/8 x 4 x 2-1/8 inches (5.4 x 10.2 x 5.4 cm) (box)
Stamped to the reverse '© KAWS..07'
Stamped on the underside of the car '©TAKARA CO.LTD '80'07 CHINA / ©2007 MEDICOM TOY / ©KAWS..07'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in clear molded plastic, in black box with gold foil lettering."
BE@RBRICK X Project 1/6,Centurion 400% (White),$525.00,2014,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened box. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X Project 1/6
Centurion 400% (White), 2014
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
Medicom Toy and Jackson Pollock Studio,Be@rbrick Jackson Pollock Toy 1000%,$525.00,2015,Vinyl,11 x 5 x 4 inches (27.9 x 12.7 x 10.2 cm),,,"Condition Report*:
Comes in original box. No apparent condition issues.","Medicom Toy and Jackson Pollock Studio
Be@rbrick Jackson Pollock Toy 1000%, 2015
Vinyl
11 x 5 x 4 inches (27.9 x 12.7 x 10.2 cm)
Produced in collaboration with the Pollock/Krasner House/Sony Brook Foundation"
BE@RBRICK X Daft Punk,White Suit 400% (two works),$525.00,2016,Painted cast vinyl,10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm) (each),,Edition of 500,"Condition Report*:
Mild surface soil. Comes in original box. 17-3/4 x 17-3/4 x 6 inches.","BE@RBRICK X Daft Punk
White Suit 400%, two works, 2016
Painted cast vinyl
10-3/4 x 5-1/4 x 3-1/2 inches (27.3 x 13.3 x 8.9 cm) (each)
Edition of 500
Stamped on the underside of feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,BAPE Play Camo 400% (Black/Grey/White),$500.00,2005,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Surface soil; adhesive residue to underside of feet; scratches and stains to back of the head. Does not come in original box.
Unframed","BE@RBRICK X BAPE
BAPE Play Camo 400% (Black/Grey/White), c. 2005
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X 10 Corso Como Comme des Garcons,5th Anniversary 400%,$500.00,2007,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X 10 Corso Como Comme des Garcons
5th Anniversary 400%, 2007
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped to the reverse and the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Project 1/6,Centurion 400% (Platinum),$500.00,2014,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
Surface soil and adhesive most notably to the reverse. Comes in original box. 11-1/2 x 6 x 4 inches.
Unframed","BE@RBRICK X Project 1/6
Centurion 400% (Platinum), 2014
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Daft Punk,Random Access Memories 100%,$500.00,2009,Painted cat vinyl,5-1/2 x 3 x 2 inches (14.0 x 7.6 x 5.1 cm) (each),,,"Condition Report*:
Comes in original packaging. No apparent condition issues.","BE@RBRICK X Daft Punk
Random Access Memories 100%, 2009
Painted cat vinyl
5-1/2 x 3 x 2 inches (14.0 x 7.6 x 5.1 cm) (each)
Stamped with artist's name and copyright on the reverse
Published by Medicom Toy, Tokyo"
BE@RBRICK X Nike,Nike SB 1000% (Black),$500.00,2017,Painted cast vinyl,28 x 14 x 9 inches (71.1 x 35.6 x 22.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box.","BE@RBRICK X Nike
Nike SB 1000% (Black), 2017
Painted cast vinyl
28 x 14 x 9 inches (71.1 x 35.6 x 22.9 cm)
Ed. 55
Stamped on the reverse and underside of feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X mastermind Japan,Black and Silver 400% and 100% (two works),$475.00,2013,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%),,,"Condition Report*:
Scattered scuffs to the feet. Comes in original box. 12 x 8 x 4-3/4 inches.
Unframed","BE@RBRICK X mastermind Japan
Black and Silver 400% and 100% (two works), 2013
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%)
2-7/8 x 1-1/4 x 3/4 inches (7.3 x 3.2 x 1.9 cm) (100%)
One stamped to the underside of the feet
Produced by Medicom Toy, Tokyo"
KAWS X BE@RBRICK,Dissected Companion 100% (Black),$450.00,2010,Painted cast vinyl,2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy),2-3/4 x 1-1/2 x 1-1/2 inches (7 x 3.8 x 3.8 cm) (box),,"Condition Report*:
No apparent condition issues.","KAWS X BE@RBRICK
Dissected Companion 100% (Black), 2010
Painted cast vinyl
2-3/4 x 1-1/4 x 3/4 inches (7 x 3.2 x 1.9 cm) (toy)
2-3/4 x 1-1/2 x 1-1/2 inches (7 x 3.8 x 3.8 cm) (box)
Stamped to the underside of the feet 'KAWS.. / OriginaFake'
Produced by Medicom Toy and OriginalFake, Tokyo

Comes in black box with silver foil lettering. No interior packaging."
BE@RBRICK X BAPE,BAPE Play Camo 400% (Blue),$450.00,2006,Painted cast vinyl,10-1/2 x 5-1/4 x 35 inches (26.7 x 13.3 x 88.9 cm),,,"Condition Report*:
Dent to the center on the reverse; discoloration to the crevaces; scattered smudges; mild scattered scratches. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X BAPE
BAPE Play Camo 400% (Blue), 2006
Painted cast vinyl
10-1/2 x 5-1/4 x 35 inches (26.7 x 13.3 x 88.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Marvel,"The Amazing Spider-Man 400%, Special Edition",$425.00,2012,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened box. 11-1/2 x 6-1/4 x 4-1/4 inches
Unframed","BE@RBRICK X Marvel
The Amazing Spider-Man 400%, Special Edition, 2012
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,1st Camo Shark 400% (Red),$425.00,2016,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.
Unframed","BE@RBRICK X BAPE
1st Camo Shark 400% (Red), 2016
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped to the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Billionaire Boys Club,Starfield 400% and 100% (two works),$425.00,2017,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%),,,"Condition Report*:
No apparent condition issues. Comes in original box. 12 x 8 x 4-3/4 inches.
Unframed","BE@RBRICK X Billionaire Boys Club
Starfield 400% and 100% (two works), 2017
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm) (400%)
2-7/8 x 1-1/4 x 3/4 inches (7.3 x 3.2 x 1.9 cm) (100%)
One stamped to the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X The Estate of Jean-Michel Basquiat,Jean-Michel Basquiat 100% and 400% (two works),$425.00,2017,"Painted cast vinyl, each",11-1/4 x 5-1/4 inches (28.6 x 13.3 cm) (400%),,,"Condition Report*:
No apparent condition issues. Comes in original box.","BE@RBRICK X The Estate of Jean-Michel Basquiat
Jean-Michel Basquiat 100% and 400% (two works), 2017
Painted cast vinyl, each
11-1/4 x 5-1/4 inches (28.6 x 13.3 cm) (400%)
Each stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,BAPE Play Camo 400% (Green),$425.00,2003,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue to the bottom of the feet; mild scattered scuffs; mild surface soil. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X BAPE
BAPE Play Camo 400% (Green), 2003
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X BAPE,Camo Shark Hoodie 400% (Green),$425.00,2015,Painted cast vinyl,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue to the back of the left leg; mild surface soil. Comes in original box. 11-1/2 x 6-1/4 x 4-1/4 inches.","BE@RBRICK X BAPE
Camo Shark Hoodie 400% (Green), 2015
Painted cast vinyl
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Hiroshi Fujiwara,BWWT HF 400%,$425.00,2004,"Cast resin, with polyester",11 x 6 x 4-1/4 inches (27.9 x 15.2 x 10.8 cm),,,"Condition Report*:
No apparent condition issues. Comes in original box. 12-1/2 x 6-1/2 x 4-3/4 inches.","BE@RBRICK X Hiroshi Fujiwara
BWWT HF 400%, 2004
Cast resin, with polyester
11 x 6 x 4-1/4 inches (27.9 x 15.2 x 10.8 cm)
Stamped on the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X mastermind JAPAN,Silver and Gold 400%,$406.25,2013,Chrome cast resin,10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm),,,"Condition Report*:
Adhesive residue to the underside of the feet; mild scattered scuffs and fingerprints. Comes in original box. 12x8x5 inches.","BE@RBRICK X mastermind JAPAN
Silver and Gold 400%, 2013
Chrome cast resin
10-1/2 x 5-1/4 x 3-1/2 inches (26.7 x 13.3 x 8.9 cm)
Stamped on the reverse and the underside of the feet
Published by Medicom Toy, Tokyo"
BE@RBRICK X Evangelion,EVA Production Model Custom Type 400%,$400.00,2013,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened box. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X Evangelion
EVA Production Model Custom Type 400%, 2013
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped to the underside of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Evangelion,EVA-2 Production Model,$400.00,2013,Painted cast resin,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No condition issues. Comes in original box. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X Evangelion
EVA-2 Production Model, 2013
Painted cast resin
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Stamped to the understand of the feet
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Marvel,"Venom 400%, from The Amazing Spider-Man",$400.00,2014,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened box. 11-1/2 x 6-1/4 x 4-1/4 inches.
Unframed","BE@RBRICK X Marvel
Venom 400%, from The Amazing Spider-Man, 2014
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom Toy, Tokyo"
BE@RBRICK X Project 1/6,Centurion 400% (Black),$400.00,2014,Painted cast vinyl,10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm),,,"Condition Report*:
No apparent condition issues. Comes in original unopened packaging. 11-1/2 x 6-1/4 x 4-1/2 inches.
Unframed","BE@RBRICK X Project 1/6
Centurion 400% (Black), 2014
Painted cast vinyl
10-3/4 x 5 x 3-1/2 inches (27.3 x 12.7 x 8.9 cm)
Produced by Medicom, Tokyo"
BE@RBRICK X Daft Punk,White Suit 400% (two works),$400.00,2016,Painted cast vinyl,7 x 8 x 3 inches (17.8 x 20.3 x 7.6 cm),,Edition of 500,"Condition Report*:
Mild surface soil. Comes in original box.","BE@RBRICK X Daft Punk
White Suit 400%, two works, 2016
Painted cast vinyl
7 x 8 x 3 inches (17.8 x 20.3 x 7.6 cm)
Edition of 500
Stamped on the underside of feet
Published by Medicom Toy, Tokyo"
KAWS X BE@RBRICK X Takara,Choro-Q,$400.00,2007,Painted cast vinyl,2 x 2 x 1-1/2 inches (5.1 x 5.1 x 3.8 cm),,,"Condition Report*:
Scattered small scratches and scuffs to each. Comes in original packaging. 2-1/4 x 4 x 2 inches.","KAWS X BE@RBRICK X Takara
Choro-Q, 2007
Painted cast vinyl
2 x 2 x 1-1/2 inches (5.1 x 5.1 x 3.8 cm)
Stamped on the underside of the car
Published by Medicom Toy, Tokyo"
